time,wave_height,wave_direction,wave_period,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,wind_speed_10m_ecmwf_ifs025,wind_direction_10m_ecmwf_ifs025,wind_gusts_10m_ecmwf_ifs025,pressure_msl_ecmwf_ifs025,weather_code_ecmwf_ifs025,temperature_2m_ecmwf_ifs025,precipitation_ecmwf_ifs025,wind_speed_10m_icon_seamless,wind_direction_10m_icon_seamless,wind_gusts_10m_icon_seamless,pressure_msl_icon_seamless,weather_code_icon_seamless,temperature_2m_icon_seamless,precipitation_icon_seamless,wind_speed_10m_gfs_seamless,wind_direction_10m_gfs_seamless,wind_gusts_10m_gfs_seamless,pressure_msl_gfs_seamless,weather_code_gfs_seamless,temperature_2m_gfs_seamless,precipitation_gfs_seamless,wind_speed_10m_meteofrance_seamless,wind_direction_10m_meteofrance_seamless,wind_gusts_10m_meteofrance_seamless,pressure_msl_meteofrance_seamless,weather_code_meteofrance_seamless,temperature_2m_meteofrance_seamless,precipitation_meteofrance_seamless,wind_speed_10m_jma_seamless,wind_direction_10m_jma_seamless,wind_gusts_10m_jma_seamless,pressure_msl_jma_seamless,weather_code_jma_seamless,temperature_2m_jma_seamless,precipitation_jma_seamless,relative_humidity_2m_best_match,dew_point_2m_best_match,apparent_temperature_best_match,rain_best_match,snowfall_best_match,snow_depth_best_match,surface_pressure_best_match,cloud_cover_best_match,cloud_cover_low_best_match,cloud_cover_mid_best_match,cloud_cover_high_best_match,visibility_best_match,evapotranspiration_best_match,wind_speed_80m_best_match,wind_direction_80m_best_match,shortwave_radiation_best_match,direct_radiation_best_match,diffuse_radiation_best_match,direct_normal_irradiance_best_match,global_tilted_irradiance_best_match,terrestrial_radiation_best_match,cape_best_match,lifted_index_best_match,convective_inhibition_best_match,sunshine_duration_best_match,lightning_potential_best_match
2026-01-03T00:00,1.76,53,7.7,0.22,357,2.05,1.54,42,5.75,,14.7,301,17.3,1006.3,3,25.5,0.0,20.9,341,27.4,1006.3,95,25.0,0.3,32.5,15,44.6,1005.2,3,24.9,0.0,20.4,343,28.4,1005.6,81,25.0,1.9,7.1,24,,1005.2,55,25.9,0.3,93,23.7,27.8,0.0,0.0,0.0,1006.3,100,50,56,100,24140.0,0.04,29.3,344,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-2.3,-78.0,0.0,
2026-01-03T00:15,1.76,53,7.7,0.22,0,2.05,1.54,42,5.75,,14.3,304,16.9,1006.2,51,25.4,0.1,22.0,342,28.4,1006.2,80,25.0,0.2,32.2,18,44.6,1005.1,3,24.9,0.0,19.8,344,28.1,1005.5,81,25.0,2.4,6.4,27,,1005.2,55,25.8,0.3,93,23.7,27.7,0.0,0.0,0.0,1006.2,100,51,58,100,24140.0,0.04,30.2,345,0.0,0.0,0.0,0.0,0.0,0.0,260.0,-2.5,-79.0,0.0,
2026-01-03T00:30,1.76,53,7.7,0.22,2,2.05,1.54,42,5.75,,13.3,308,16.9,1006.2,51,25.4,0.1,22.6,343,29.5,1006.0,80,25.0,0.2,31.0,22,44.3,1005.1,3,24.9,0.0,18.9,346,27.0,1005.5,81,25.0,2.4,5.6,27,,1005.1,55,25.8,0.3,93,23.7,27.6,0.0,0.0,0.0,1006.0,100,52,60,100,24140.0,0.04,31.1,347,0.0,0.0,0.0,0.0,0.0,0.0,280.0,-2.8,-82.0,0.0,
2026-01-03T00:45,1.76,53,7.7,0.22,5,2.05,1.54,42,5.75,,12.5,316,16.6,1006.1,51,25.4,0.1,23.4,346,30.6,1005.9,80,25.0,0.2,30.0,24,43.6,1005.0,3,24.9,0.0,17.6,349,25.9,1005.5,81,25.0,2.4,5.0,30,,1005.1,55,25.8,0.3,93,23.8,27.6,0.0,0.0,0.0,1005.9,100,53,62,100,24140.0,0.04,32.0,348,0.0,0.0,0.0,0.0,0.0,0.0,290.0,-3.1,-87.0,0.0,
2026-01-03T01:00,1.76,54,7.65,0.22,7,2.0,1.54,42,5.75,,11.9,325,16.6,1006.0,51,25.4,0.1,24.0,347,31.3,1005.8,80,25.0,0.2,28.4,24,42.5,1005.0,3,24.8,0.0,17.0,355,25.6,1005.4,81,24.9,2.4,4.2,31,,1005.0,55,25.7,0.3,93,23.8,27.5,0.0,0.0,0.0,1005.8,100,54,64,100,24140.0,0.04,32.9,350,0.0,0.0,0.0,0.0,0.0,0.0,300.0,-3.2,-96.0,0.0,
2026-01-03T01:15,1.76,54,7.65,0.22,10,2.0,1.54,42,5.75,,11.8,337,16.6,1006.0,51,25.3,0.1,24.3,348,32.0,1005.7,80,25.0,0.2,26.5,18,40.7,1004.9,51,24.7,0.1,17.3,5,25.9,1005.2,81,24.9,1.6,3.6,37,,1005.0,55,25.7,0.3,93,23.8,27.5,0.0,0.0,0.0,1005.7,100,55,65,100,22520.0,0.04,33.5,351,0.0,0.0,0.0,0.0,0.0,0.0,310.0,-3.0,-114.0,0.0,
2026-01-03T01:30,1.76,54,7.65,0.22,13,2.0,1.54,42,5.7,,12.1,350,16.6,1005.9,51,25.2,0.1,24.9,350,32.0,1005.7,80,25.1,0.2,24.7,8,37.8,1004.9,51,24.6,0.1,19.0,15,27.0,1005.0,81,24.8,1.6,3.1,36,,1004.9,55,25.6,0.3,93,23.9,27.5,0.0,0.0,0.0,1005.7,100,57,65,100,20920.0,0.04,33.8,353,0.0,0.0,0.0,0.0,0.0,0.0,310.0,-2.6,-140.0,0.0,
2026-01-03T01:45,1.76,54,7.65,0.2,15,2.0,1.54,43,5.7,,13.0,360,16.6,1005.8,51,25.2,0.1,24.7,352,32.4,1005.6,80,25.1,0.2,23.8,357,35.3,1004.8,51,24.5,0.1,21.3,24,28.1,1004.8,81,24.7,1.6,2.8,40,,1004.9,55,25.6,0.3,92,23.7,27.4,0.0,0.0,0.0,1005.6,100,58,66,100,19300.0,0.04,34.1,353,0.0,0.0,0.0,0.0,0.0,0.0,310.0,-2.2,-163.0,0.0,
2026-01-03T02:00,1.76,54,7.6,0.2,18,1.95,1.54,43,5.7,,14.2,9,16.9,1005.7,51,25.2,0.1,25.1,353,33.1,1005.6,80,25.1,0.2,23.9,349,34.2,1004.8,51,24.4,0.1,23.5,27,28.8,1004.7,81,24.6,1.6,2.0,45,,1004.9,55,25.6,0.3,92,23.7,27.4,0.0,0.0,0.0,1005.6,100,59,66,100,17680.0,0.04,34.0,355,0.0,0.0,0.0,0.0,0.0,0.0,290.0,-1.9,-174.0,0.0,
2026-01-03T02:15,1.76,54,7.6,0.2,20,1.95,1.54,43,5.7,,15.6,15,16.9,1005.7,51,25.1,0.1,25.4,353,34.2,1005.6,80,25.0,0.3,23.4,346,34.9,1004.9,53,24.4,0.2,25.3,26,29.2,1004.6,81,24.6,2.2,2.0,45,,1004.9,55,25.6,0.3,92,23.6,27.2,0.0,0.0,0.0,1005.6,100,58,63,100,19300.0,0.04,34.0,355,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-1.8,-169.0,0.0,
