time,wave_height,wave_direction,wave_period,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,wind_speed_10m_ecmwf_ifs025,wind_direction_10m_ecmwf_ifs025,wind_gusts_10m_ecmwf_ifs025,pressure_msl_ecmwf_ifs025,weather_code_ecmwf_ifs025,temperature_2m_ecmwf_ifs025,precipitation_ecmwf_ifs025,wind_speed_10m_icon_seamless,wind_direction_10m_icon_seamless,wind_gusts_10m_icon_seamless,pressure_msl_icon_seamless,weather_code_icon_seamless,temperature_2m_icon_seamless,precipitation_icon_seamless,wind_speed_10m_gfs_seamless,wind_direction_10m_gfs_seamless,wind_gusts_10m_gfs_seamless,pressure_msl_gfs_seamless,weather_code_gfs_seamless,temperature_2m_gfs_seamless,precipitation_gfs_seamless,wind_speed_10m_meteofrance_seamless,wind_direction_10m_meteofrance_seamless,wind_gusts_10m_meteofrance_seamless,pressure_msl_meteofrance_seamless,weather_code_meteofrance_seamless,temperature_2m_meteofrance_seamless,precipitation_meteofrance_seamless,wind_speed_10m_jma_seamless,wind_direction_10m_jma_seamless,wind_gusts_10m_jma_seamless,pressure_msl_jma_seamless,weather_code_jma_seamless,temperature_2m_jma_seamless,precipitation_jma_seamless
2026-01-04T03:00,1.82,82,8.65,0.2,321,1.85,1.44,50,5.85,,20.1,299,25.2,1007.3,51,24.7,0.1,4.7,351,10.8,1007.2,45,25.0,0.0,15.5,18,15.8,1006.7,3,24.0,0.0,13.2,325,25.6,1006.7,3,24.5,0.0,20.8,307,,1006.5,61,25.1,0.5
2026-01-04T03:15,1.84,83,8.65,0.2,320,1.85,1.46,49,5.85,,19.8,299,24.8,1007.3,53,24.7,0.2,4.7,356,10.1,1007.3,3,25.0,0.0,15.6,19,15.5,1006.8,80,24.0,0.6,12.3,320,23.4,1006.8,3,24.6,0.0,20.6,306,,1006.5,3,25.1,0.0
2026-01-04T03:30,1.86,83,8.7,0.2,320,1.85,1.46,49,5.9,,19.5,300,24.5,1007.4,53,24.7,0.2,4.7,356,9.0,1007.4,3,25.0,0.0,14.2,21,13.7,1006.9,80,24.0,0.6,11.5,319,20.9,1006.9,3,24.6,0.0,20.4,306,,1006.6,2,25.1,0.0
2026-01-04T03:45,1.88,84,8.75,0.2,319,1.85,1.48,48,5.95,,18.7,300,24.1,1007.4,53,24.7,0.2,5.1,356,8.3,1007.6,3,25.1,0.0,12.8,22,11.5,1007.1,80,24.0,0.6,10.5,319,18.4,1006.9,3,24.6,0.0,19.9,305,,1006.7,2,25.1,0.0
2026-01-04T04:00,1.9,84,8.8,0.2,319,1.85,1.48,48,6.0,,17.8,302,23.8,1007.5,53,24.7,0.2,5.1,356,7.6,1007.7,3,25.1,0.0,11.2,21,9.7,1007.2,80,24.0,0.6,9.7,315,16.2,1007.0,3,24.6,0.0,19.7,305,,1006.8,2,25.2,0.0
2026-01-04T04:15,1.92,85,8.9,0.2,318,1.9,1.5,47,6.1,,16.9,304,23.0,1007.6,53,24.7,0.2,4.7,351,7.2,1007.8,3,25.1,0.0,10.0,15,8.6,1007.3,55,24.1,0.3,9.0,307,14.8,1007.1,3,24.7,0.0,19.2,304,,1006.9,2,25.2,0.0
2026-01-04T04:30,1.96,85,8.95,0.2,318,1.9,1.52,47,6.15,,16.0,306,22.7,1007.7,53,24.7,0.2,4.4,351,7.2,1007.9,3,25.1,0.0,9.0,5,7.9,1007.5,55,24.2,0.3,9.2,296,13.3,1007.3,3,24.7,0.0,18.7,304,,1007.0,2,25.2,0.0
2026-01-04T04:45,1.98,86,9.05,0.18,317,1.9,1.52,46,6.2,,14.8,309,22.0,1007.8,53,24.8,0.2,4.1,345,7.2,1008.0,3,25.1,0.0,8.4,350,7.2,1007.7,55,24.4,0.3,9.3,286,12.2,1007.5,3,24.8,0.0,18.0,303,,1007.2,2,25.3,0.0
2026-01-04T05:00,2.0,87,9.1,0.18,316,1.9,1.54,46,6.3,,14.0,312,21.6,1007.9,53,24.8,0.2,4.0,333,7.2,1008.2,3,25.1,0.0,8.1,339,6.5,1007.8,55,24.5,0.3,9.5,279,11.5,1007.7,3,24.8,0.0,17.5,302,,1007.3,2,25.3,0.0
2026-01-04T05:15,2.02,87,9.15,0.18,316,1.9,1.54,45,6.35,,13.2,315,20.9,1008.1,53,24.8,0.2,4.1,322,7.2,1008.5,3,25.2,0.0,7.7,332,5.8,1007.9,3,24.5,0.0,9.4,274,11.2,1007.9,3,24.8,0.0,16.5,302,,1007.5,2,25.4,0.0
