time,wave_height,wave_direction,wave_period,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,wind_speed_10m_ecmwf_ifs025,wind_direction_10m_ecmwf_ifs025,wind_gusts_10m_ecmwf_ifs025,pressure_msl_ecmwf_ifs025,weather_code_ecmwf_ifs025,temperature_2m_ecmwf_ifs025,precipitation_ecmwf_ifs025,wind_speed_10m_icon_seamless,wind_direction_10m_icon_seamless,wind_gusts_10m_icon_seamless,pressure_msl_icon_seamless,weather_code_icon_seamless,temperature_2m_icon_seamless,precipitation_icon_seamless,wind_speed_10m_gfs_seamless,wind_direction_10m_gfs_seamless,wind_gusts_10m_gfs_seamless,pressure_msl_gfs_seamless,weather_code_gfs_seamless,temperature_2m_gfs_seamless,precipitation_gfs_seamless,wind_speed_10m_meteofrance_seamless,wind_direction_10m_meteofrance_seamless,wind_gusts_10m_meteofrance_seamless,pressure_msl_meteofrance_seamless,weather_code_meteofrance_seamless,temperature_2m_meteofrance_seamless,precipitation_meteofrance_seamless,wind_speed_10m_jma_seamless,wind_direction_10m_jma_seamless,wind_gusts_10m_jma_seamless,pressure_msl_jma_seamless,weather_code_jma_seamless,temperature_2m_jma_seamless,precipitation_jma_seamless,relative_humidity_2m_best_match,dew_point_2m_best_match,apparent_temperature_best_match,rain_best_match,snowfall_best_match,snow_depth_best_match,surface_pressure_best_match,cloud_cover_best_match,cloud_cover_low_best_match,cloud_cover_mid_best_match,cloud_cover_high_best_match,visibility_best_match,evapotranspiration_best_match,wind_speed_80m_best_match,wind_direction_80m_best_match,shortwave_radiation_best_match,direct_radiation_best_match,diffuse_radiation_best_match,direct_normal_irradiance_best_match,global_tilted_irradiance_best_match,terrestrial_radiation_best_match,cape_best_match,lifted_index_best_match,convective_inhibition_best_match,sunshine_duration_best_match,lightning_potential_best_match
2026-01-04T07:15,2.08,87,9.35,0.12,321,1.6,1.6,45,6.6,,11.3,333,16.9,1009.0,51,25.1,0.1,7.6,267,10.4,1009.6,3,25.4,0.0,8.9,313,6.8,1008.6,51,24.2,0.1,10.0,244,11.9,1009.0,3,24.9,0.0,10.5,297,,1008.8,2,25.6,0.0,91,23.8,30.2,0.0,0.0,0.0,1009.6,100,29,99,97,23140.0,0.04,7.6,267,126.0,6.0,120.0,13.6,126.0,624.4,360.0,-2.2,-9.0,0.0,
2026-01-04T07:30,2.08,87,9.35,0.12,322,1.55,1.6,45,6.6,,11.1,335,16.6,1009.1,51,25.2,0.1,7.8,257,10.4,1009.9,3,25.4,0.0,9.5,323,7.2,1008.7,51,24.2,0.1,11.1,245,13.0,1009.2,3,24.9,0.0,9.8,294,,1009.0,2,25.6,0.0,91,23.8,30.2,0.0,0.0,0.0,1009.9,100,30,97,95,22120.0,0.04,7.8,257,141.0,8.0,133.0,16.2,141.0,697.5,330.0,-2.1,-11.0,0.0,
2026-01-04T07:45,2.08,87,9.3,0.1,323,1.5,1.6,46,6.6,,11.4,336,16.2,1009.3,51,25.2,0.1,7.8,248,10.4,1010.1,3,25.4,0.0,10.1,333,7.9,1008.8,51,24.1,0.1,12.2,246,14.0,1009.3,3,24.9,0.0,9.4,293,,1009.1,2,25.7,0.0,90,23.6,30.1,0.0,0.0,0.0,1010.1,99,30,96,92,21120.0,0.04,7.9,246,163.0,14.0,149.0,25.8,163.0,768.5,310.0,-2.1,-12.0,0.0,
2026-01-04T08:00,2.08,86,9.3,0.08,325,1.45,1.6,46,6.6,,11.4,336,15.8,1009.4,51,25.4,0.1,7.2,243,10.4,1010.3,3,25.5,0.0,10.4,340,8.3,1009.0,51,24.1,0.1,12.6,243,15.1,1009.5,3,25.0,0.0,8.6,292,,1009.3,2,25.7,0.0,90,23.7,30.3,0.0,0.0,0.0,1010.3,99,30,94,89,20100.0,0.04,7.4,241,198.0,26.0,172.0,43.9,198.0,837.1,330.0,-2.1,-13.0,0.0,
2026-01-04T08:15,2.08,86,9.3,0.08,326,1.4,1.62,46,6.65,,11.4,336,15.5,1009.5,51,25.4,0.1,5.6,243,11.2,1010.3,3,25.5,0.0,10.0,345,8.3,1009.2,3,24.1,0.0,12.0,237,16.6,1009.6,3,25.0,0.0,8.0,288,,1009.4,2,25.7,0.0,91,23.9,30.7,0.0,0.0,0.0,1010.3,98,30,93,84,21120.0,0.04,6.1,242,239.0,42.0,197.0,65.8,239.0,903.0,410.0,-2.2,-12.0,43.45,
2026-01-04T08:30,2.08,86,9.3,0.06,327,1.35,1.62,46,6.65,,11.6,334,15.1,1009.6,51,25.5,0.1,3.3,257,11.9,1010.3,3,25.5,0.0,9.8,352,8.3,1009.5,3,24.2,0.0,10.7,228,18.0,1009.8,3,25.2,0.0,7.5,287,,1009.5,2,25.7,0.0,93,24.3,31.3,0.0,0.0,0.0,1010.3,98,30,92,79,22120.0,0.05,3.8,253,285.0,63.0,222.0,92.3,285.0,966.0,550.0,-2.4,-11.0,241.94,
2026-01-04T08:45,2.08,85,9.35,0.06,329,1.3,1.62,47,6.65,,11.6,334,15.1,1009.7,51,25.5,0.1,1.9,292,12.6,1010.2,3,25.5,0.0,9.4,358,8.3,1009.7,3,24.2,0.0,9.6,214,19.1,1009.9,3,25.3,0.0,7.4,284,,1009.6,2,25.7,0.0,94,24.5,31.6,0.0,0.0,0.0,1010.2,97,30,90,74,23140.0,0.05,2.3,288,329.0,88.0,241.0,121.4,329.0,1025.7,670.0,-2.6,-9.0,460.25,
2026-01-04T09:00,2.08,85,9.35,0.04,330,1.3,1.62,47,6.65,,11.4,332,15.1,1009.8,51,25.5,0.1,1.6,333,12.6,1010.2,3,25.5,0.0,9.0,2,8.3,1009.9,3,24.2,0.0,9.2,206,19.1,1010.1,3,25.4,0.0,7.0,282,,1009.7,2,25.7,0.0,95,24.7,31.9,0.0,0.0,0.0,1010.2,96,30,89,69,24140.0,0.05,1.8,323,380.0,125.0,255.0,163.4,380.0,1081.9,750.0,-2.6,-8.0,775.78,
2026-01-04T09:15,2.08,87,9.4,0.04,327,1.3,1.62,47,6.65,,11.3,329,15.1,1009.9,51,25.5,0.1,1.3,326,11.2,1010.3,3,25.6,0.0,9.0,5,8.6,1010.0,51,24.2,0.1,9.2,201,17.6,1010.3,81,25.4,0.8,6.9,279,,1009.8,55,25.7,0.3,95,24.7,32.0,0.0,0.0,0.0,1010.3,96,24,88,72,24140.0,0.04,1.5,315,429.0,164.0,265.0,204.5,429.0,1134.4,750.0,-2.5,-8.0,900.0,
2026-01-04T09:30,2.08,88,9.4,0.04,323,1.3,1.62,47,6.65,,11.4,325,15.5,1009.9,51,25.5,0.1,1.4,270,9.0,1010.4,3,25.6,0.0,9.4,2,9.0,1010.1,51,24.2,0.1,9.2,201,15.1,1010.5,81,25.4,0.8,6.9,276,,1009.8,55,25.6,0.3,94,24.6,31.9,0.0,0.0,0.0,1010.4,97,19,86,75,24140.0,0.04,1.5,256,472.0,195.0,277.0,233.2,472.0,1182.9,700.0,-2.3,-9.0,900.0,
2026-01-04T09:45,2.08,90,9.45,0.04,320,1.3,1.6,47,6.6,,11.5,321,16.2,1010.0,51,25.5,0.1,2.9,240,7.2,1010.5,3,25.7,0.0,9.4,2,9.0,1010.1,51,24.2,0.1,9.2,201,12.6,1010.7,81,25.2,0.8,6.8,273,,1009.9,55,25.6,0.3,93,24.5,31.7,0.0,0.0,0.0,1010.5,97,13,85,77,24140.0,0.03,2.8,230,496.0,203.0,293.0,234.0,496.0,1227.3,650.0,-2.0,-10.0,900.0,
2026-01-04T10:00,2.08,92,9.5,0.04,316,1.35,1.6,47,6.55,,12.0,316,16.6,1010.1,51,25.5,0.1,4.1,232,5.8,1010.6,3,25.8,0.0,9.0,360,9.0,1010.2,51,24.1,0.1,9.6,200,11.2,1010.8,81,25.2,0.8,6.8,270,,1009.9,55,25.5,0.3,92,24.4,31.5,0.0,0.0,0.0,1010.6,97,7,83,80,24140.0,0.02,4.1,225,501.0,186.0,315.0,207.6,501.0,1267.3,620.0,-1.8,-10.0,900.0,
2026-01-04T10:15,2.08,94,9.55,0.04,313,1.35,1.6,47,6.5,,12.3,310,17.3,1010.1,51,25.5,0.1,4.6,231,5.8,1010.6,3,25.8,0.0,8.3,358,8.3,1010.3,3,24.1,0.0,10.0,201,10.8,1010.9,61,25.1,0.5,6.8,267,,1009.9,55,25.5,0.3,92,24.4,31.5,0.0,0.0,0.0,1010.6,98,11,86,83,24140.0,0.02,4.6,225,493.0,154.0,339.0,167.2,493.0,1302.7,640.0,-1.6,-9.0,804.18,
2026-01-04T10:30,2.08,95,9.65,0.04,309,1.4,1.58,47,6.45,,12.9,306,18.0,1010.2,51,25.4,0.1,5.1,231,6.1,1010.5,3,25.9,0.0,7.2,354,7.2,1010.3,3,24.1,0.0,10.8,201,10.8,1011.0,61,25.1,0.5,6.8,267,,1009.9,55,25.5,0.3,92,24.4,31.5,0.0,0.0,0.0,1010.5,98,16,89,87,24140.0,0.02,4.8,228,478.0,120.0,358.0,127.3,478.0,1333.5,670.0,-1.5,-8.0,504.72,
2026-01-04T10:45,2.1,97,9.7,0.04,306,1.45,1.58,48,6.45,,13.4,301,18.4,1010.2,51,25.4,0.1,5.4,228,7.2,1010.5,3,25.9,0.0,6.2,353,6.1,1010.4,3,24.0,0.0,11.6,202,11.5,1011.0,61,25.0,0.5,7.2,264,,1010.0,55,25.4,0.3,92,24.5,31.5,0.0,0.0,0.0,1010.5,99,20,92,90,24140.0,0.02,5.4,228,458.0,94.0,364.0,97.8,458.0,1359.5,710.0,-1.4,-6.0,283.57,
2026-01-04T11:00,2.1,99,9.75,0.04,302,1.45,1.58,48,6.45,,13.7,297,19.1,1010.2,51,25.3,0.1,5.9,227,8.3,1010.4,3,26.0,0.0,5.2,348,5.0,1010.4,3,24.0,0.0,12.3,201,12.6,1011.0,61,25.0,0.5,7.3,261,,1010.0,55,25.4,0.3,92,24.5,31.5,0.0,0.0,0.0,1010.4,99,24,95,93,24140.0,0.02,5.9,227,428.0,69.0,359.0,70.7,428.0,1380.6,740.0,-1.3,-6.0,80.26,
2026-01-04T11:15,2.1,101,9.8,0.04,299,1.5,1.58,48,6.45,,14.4,292,19.8,1010.2,51,25.3,0.1,6.6,225,9.4,1010.3,3,26.0,0.0,4.5,346,4.0,1010.4,3,24.0,0.0,13.5,196,14.4,1011.0,51,25.0,0.1,7.7,259,,1010.0,55,25.2,0.3,92,24.5,31.4,0.0,0.0,0.0,1010.3,99,33,94,91,24140.0,0.02,6.6,225,393.0,46.0,347.0,46.6,393.0,1396.6,750.0,-1.2,-7.0,0.0,
